case_id,dimension,setting,evidence_class,policy,episodes,mean_cost_bps,median_cost_bps,p95_cost_bps,cvar95_cost_bps,completion_rate,invalid_action_rate
latency_5x,latency,5x,synthetic_engineering,ppo_seed_127,24,4.628097051200067,3.9852773456352355,12.400958295420438,14.033580587807732,1.0,0.0
latency_5x,latency,5x,synthetic_engineering,ppo_seed_227,24,4.186771090836565,3.5601846778097097,11.51870700582633,13.653908589924047,1.0,0.0
latency_5x,latency,5x,synthetic_engineering,ppo_seed_327,24,4.617144414064257,4.843946832407653,8.420099857776021,8.887455631589493,1.0,0.0
latency_5x,latency,5x,synthetic_engineering,ppo_seed_427,24,4.534268908630556,3.8689776140472087,12.315351979553867,13.60449711353153,1.0,0.0
grid_10ms_proxy,decision_grid,10ms_proxy,synthetic_engineering,immediate,24,3.822007408308794,3.8126028012820443,4.093566598237228,4.100752217754927,1.0,0.0
grid_10ms_proxy,decision_grid,10ms_proxy,synthetic_engineering,twap_like,24,1.3155244138313547,0.813752264050573,6.509300893682773,6.555397768139947,1.0,0.0
grid_10ms_proxy,decision_grid,10ms_proxy,synthetic_engineering,liquidity_aware,24,0.903471832409107,0.26817264965095955,7.176693036523649,7.890446315959009,1.0,0.0
grid_10ms_proxy,decision_grid,10ms_proxy,synthetic_engineering,ppo_seed_27,24,0.8502825048246181,0.1427243001838397,7.069290055069308,7.908785400615348,1.0,0.0
grid_10ms_proxy,decision_grid,10ms_proxy,synthetic_engineering,ppo_seed_127,24,0.8502825048246181,0.1427243001838397,7.069290055069308,7.908785400615348,1.0,0.0
grid_10ms_proxy,decision_grid,10ms_proxy,synthetic_engineering,ppo_seed_227,24,0.3766606202401743,-0.16396777142615424,5.4018432969800925,6.772722222653689,1.0,0.0
grid_10ms_proxy,decision_grid,10ms_proxy,synthetic_engineering,ppo_seed_327,24,2.5132901287907146,2.7582500185164815,6.6548643249008155,7.142940847894121,1.0,0.0
grid_10ms_proxy,decision_grid,10ms_proxy,synthetic_engineering,ppo_seed_427,24,1.2042831329479227,0.729772817895981,7.402792275257707,7.514797795935223,1.0,0.0
grid_100ms_proxy,decision_grid,100ms_proxy,synthetic_engineering,immediate,24,3.9970074083087943,3.987602801282044,4.268566598237228,4.275752217754928,1.0,0.0
grid_100ms_proxy,decision_grid,100ms_proxy,synthetic_engineering,twap_like,24,2.8074348663878546,2.6735078475982883,6.680548257549389,6.952525541045008,1.0,0.0
grid_100ms_proxy,decision_grid,100ms_proxy,synthetic_engineering,liquidity_aware,24,2.7569075149988733,2.3025022433871087,7.770568175994814,10.924656875840828,1.0,0.0
grid_100ms_proxy,decision_grid,100ms_proxy,synthetic_engineering,ppo_seed_27,24,3.181725571674324,2.5060105440723905,9.454886031778555,9.968488677966178,1.0,0.0
