case_id,dimension,setting,policy,comparator,episodes,mean_difference_bps,median_difference_bps,mean_ci95_low_bps,mean_ci95_high_bps,raw_two_sided_p_value,holm_adjusted_p_value,relative_change_percent,paired_standardized_effect
fees_adverse,fees_rebates,adverse,ppo_aggregate,liquidity_aware,24,0.425390738061,0.379604993648,-0.0200784675624,0.855441914548,0.0597998535514,0.179399560654,17.741829617,0.275530007525
fees_adverse,fees_rebates,adverse,twap_like,liquidity_aware,24,1.37293142551,1.64697311329,0.454112066895,2.27647039536,0.00414937759336,0.0124481327801,57.2610384942,0.381531407707
fees_adverse,fees_rebates,adverse,immediate,liquidity_aware,24,2.29933621405,3.01430341956,0.564186665523,3.8786804684,0.00536978276788,0.0161093483036,95.8987295488,0.718012911804
fees_favourable,fees_rebates,favourable,ppo_aggregate,liquidity_aware,24,0.219905245894,0.403910438691,-0.181021529314,0.593356826439,0.273614840127,0.547229680254,10.0539777585,0.15224348554
fees_favourable,fees_rebates,favourable,twap_like,liquidity_aware,24,0.763031425508,1.02567311329,-0.110602187656,1.5919421335,0.0881132536002,0.1762265072,34.8854841998,0.218050193632
fees_favourable,fees_rebates,favourable,immediate,liquidity_aware,24,1.55976121405,2.36193483492,-0.0650564059749,3.07058966728,0.0539419087137,0.107883817427,71.311643753,0.495544893703
fees_zero,fees_rebates,zero,ppo_aggregate,liquidity_aware,24,0.193442268071,0.396230438691,-0.197922457741,0.568352531413,0.331462045399,0.547229680254,8.88911077315,0.130386001696
fees_zero,fees_rebates,zero,twap_like,liquidity_aware,24,0.730931425508,0.992973113287,-0.198452607895,1.58710557442,0.105931169148,0.1762265072,33.5879561055,0.209178560311
fees_zero,fees_rebates,zero,immediate,liquidity_aware,24,1.52083621405,2.32263483492,-0.119613739702,3.04784459897,0.0602880156212,0.107883817427,69.8858719417,0.483599046726
grid_1000ms_proxy,decision_grid,1000ms_proxy,ppo_aggregate,liquidity_aware,24,0.145578344283,0.336591721055,-0.372993009057,0.540086573357,0.545765194044,1.0,4.0627725318,0.0903527879422
grid_1000ms_proxy,decision_grid,1000ms_proxy,twap_like,liquidity_aware,24,-0.0348781411346,-0.067608931069,-0.773705130206,0.745556487706,0.927263851599,1.0,-0.973372478301,-0.0110438473792
grid_1000ms_proxy,decision_grid,1000ms_proxy,immediate,liquidity_aware,24,0.613780851966,1.34797928895,-0.48340380167,1.62300651713,0.26678057115,0.300707835001,17.129278384,0.223212622085
grid_100ms_proxy,decision_grid,100ms_proxy,ppo_aggregate,liquidity_aware,24,0.145996441387,0.699106571989,-0.531892723053,0.855401591776,0.706370515011,1.0,5.29565974167,0.0730099837901
grid_100ms_proxy,decision_grid,100ms_proxy,twap_like,liquidity_aware,24,0.050527351389,0.265937740514,-1.29792374265,1.31568301435,0.937515255065,1.0,1.83275467581,0.0132324378218
grid_100ms_proxy,decision_grid,100ms_proxy,immediate,liquidity_aware,24,1.24009989331,1.78770024754,-0.462798128962,2.78926717993,0.150353917501,0.300707835001,44.9815558398,0.374940343179
grid_10ms_proxy,decision_grid,10ms_proxy,ppo_aggregate,liquidity_aware,24,0.255487945917,0.195810201211,-0.13225447086,0.684907096543,0.226507200391,0.679521601172,28.2784627867,0.239377227815
grid_10ms_proxy,decision_grid,10ms_proxy,twap_like,liquidity_aware,24,0.412052581422,0.618808152559,-0.749141306984,1.62396292116,0.50573590432,1.0,45.6076843396,0.106997661424
grid_10ms_proxy,decision_grid,10ms_proxy,immediate,liquidity_aware,24,2.9185355759,3.61369451944,1.33780248802,4.32323868533,0.000244081034904,0.000976324139614,323.035591283,0.944157666266
grid_250ms_proxy,decision_grid,250ms_proxy,ppo_aggregate,liquidity_aware,24,0.760237772277,0.480787746315,0.0155777462971,1.58284192551,0.0551623138882,0.220649255553,27.8265529438,0.352084389073
grid_250ms_proxy,decision_grid,250ms_proxy,twap_like,liquidity_aware,24,0.455243000307,0.528873285853,-0.59189297071,1.66423572824,0.427385892116,1.0,16.6630019084,0.124034656129
grid_250ms_proxy,decision_grid,250ms_proxy,immediate,liquidity_aware,24,1.33994866638,1.70680015957,0.201572479104,2.32667078591,0.0124481327801,0.0373443983402,49.0453827298,0.480644332953
horizon_300s_proxy,horizon,300s_proxy,ppo_aggregate,liquidity_aware,24,0.165088034242,0.380264734287,-0.277927911237,0.66356106785,0.505003661216,1.0,10.4597174627,0.0846809327745
horizon_300s_proxy,horizon,300s_proxy,twap_like,liquidity_aware,24,1.30967655076,2.07491313724,-0.108881714202,2.60192078726,0.0602880156212,0.120576031242,82.979040554,0.22635415349
horizon_300s_proxy,horizon,300s_proxy,immediate,liquidity_aware,24,2.36868528984,3.22493071139,0.151950505688,4.44242377503,0.0300219672931,0.0600439345863,150.076163929,0.508360680906
horizon_30s_proxy,horizon,30s_proxy,ppo_aggregate,liquidity_aware,24,-0.261702862389,0.256402558346,-1.38642115783,0.686198814459,0.647791066634,1.0,-7.80142050386,-0.102501359375
horizon_30s_proxy,horizon,30s_proxy,twap_like,liquidity_aware,24,-0.0281626827946,0.207174044381,-1.21285727544,1.29183526487,0.966316817183,0.966316817183,-0.839535834619,-0.00835413121636
